Grant,"Organization Name","Focus Area",Amount,Date
"VOCAL-NY Action Fund — General Support","VOCAL-NY Action Fund","Criminal Justice Reform","$40,000","July 2016"
"JustLeadershipUSA — General Support",JustLeadershipUSA,"Criminal Justice Reform","$40,000","July 2016"
"Against Malaria Foundation — General Support (January 2016)","Against Malaria Foundation","Global Health & Development","$22,845,518","January 2016"
"Deworm the World Initiative — General Support (January 2016)","Evidence Action","Global Health & Development","$10,790,000","January 2016"
"Schistosomiasis Control Initiative — General Support (2016)","Schistosomiasis Control Initiative","GiveWell-Recommended Charities","$1,000,000","January 2016"
"GiveDirectly — General Support (January 2016)",GiveDirectly,"GiveWell-Recommended Charities","$9,750,000","January 2016"
"Iodine Global Network — General Support (December 2015)","Iodine Global Network","GiveWell-Recommended Charities","$250,000","December 2015"
"Development Media International — General Support (December 2015)","Development Media International","GiveWell-Recommended Charities","$250,000","December 2015"
"Living Goods — General Support (December 2015)","Living Goods","GiveWell-Recommended Charities","$250,000","December 2015"
"Global Alliance for Improved Nutrition — General Support (October 2015)","Global Alliance for Improved Nutrition","GiveWell-Recommended Charities","$250,000","October 2015"
"GiveDirectly — General Support (June 2015)",GiveDirectly,"GiveWell-Recommended Charities","$25,000,000","June 2015"
"GiveDirectly — General Support (December 2014)",GiveDirectly,"GiveWell-Recommended Charities","$5,000,000","December 2014"
"Living Goods — General Support (December 2014)","Living Goods","GiveWell-Recommended Charities","$250,000","December 2014"
"Against Malaria Foundation — General Support (December 2014)","Against Malaria Foundation","GiveWell-Recommended Charities","$5,000,000","December 2014"
"Development Media International — General Support (December 2014)","Development Media International","GiveWell-Recommended Charities","$250,000","December 2014"
"Iodine Global Network — General Support (December 2014)","Iodine Global Network","GiveWell-Recommended Charities","$250,000","December 2014"
"Global Alliance for Improved Nutrition — General Support (December 2014)","Global Alliance for Improved Nutrition","GiveWell-Recommended Charities","$250,000","December 2014"
"Deworm the World Initiative — General Support (December 2014)","Evidence Action","GiveWell-Recommended Charities","$250,000","December 2014"
"Schistosomiasis Control Initiative — General Support (2014)","Schistosomiasis Control Initiative","GiveWell-Recommended Charities","$3,000,000","December 2014"
"GiveDirectly — General Support (January 2014)",GiveDirectly,"GiveWell-Recommended Charities","$7,000,000","January 2014"
"Schistosomiasis Control Initiative — General Support (2013)","Schistosomiasis Control Initiative","GiveWell-Recommended Charities","$750,000","December 2013"
"Deworm the World Initiative — General Support (December 2013)","Evidence Action","GiveWell-Recommended Charities","$1,500,000","December 2013"
"Schistosomiasis Control Initiative — General Support (2012)","Schistosomiasis Control Initiative","GiveWell-Recommended Charities","$250,000","December 2012"
"GiveDirectly — General Support (December 2012)",GiveDirectly,"GiveWell-Recommended Charities","$500,000","December 2012"
"Against Malaria Foundation — General Support (December 2012)","Against Malaria Foundation","GiveWell-Recommended Charities","$1,250,000","December 2012"
"Machine Intelligence Research Institute — General Support (2016)","Machine Intelligence Research Institute",Longtermism,"$500,000","August 2016"
"The Ordinary People Society — General Support","The Ordinary People Society","Criminal Justice Reform","$125,000","July 2016"
"Katal Center for Health, Equity, and Justice — General Support","Katal Center for Health, Equity, and Justice","Criminal Justice Reform","$64,500","August 2016"
"Legal Services for Prisoners with Children — General Support","Legal Services for Prisoners with Children","Criminal Justice Reform","$70,000","July 2016"
"Ayni Institute — Momentum Training","Ayni Institute","Criminal Justice Reform","$40,000","July 2016"
"Prison Policy Initiative — General Support","Prison Policy Initiative","Criminal Justice Reform","$50,000","June 2016"
"Vera Institute of Justice — Common Justice","Vera Institute of Justice","Criminal Justice Reform","$8,000","June 2016"
"George Mason University — Research into Future Artificial Intelligence Scenarios","George Mason University",Longtermism,"$277,435","June 2016"
"Center for Applied Rationality — General Support","Center for Applied Rationality","Effective Altruism Community Growth","$1,035,000","July 2016"
"Center for Applied Rationality — SPARC","Center for Applied Rationality","Effective Altruism Community Growth","$304,000","May 2016"
"UC Berkeley — Center for Human-Compatible AI (2016)","UC Berkeley",Longtermism,"$5,555,550","August 2016"
"Colorado Criminal Justice Reform Coalition — General Support (June 2016)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$61,600","June 2016"
"Foundation for the National Institutes of Health — Working Group on Malaria Gene Drive Testing Path","Foundation for the National Institutes of Health","Science for Global Health","$1,228,845","July 2016"
"Harvard University — Program in Criminal Justice Policy and Management","Harvard University","Criminal Justice Reform","$783,000","July 2016"
"Wageningen University & Research — Chicken Welfare Systematic Assessment","Wageningen University &amp; Research","Broiler Chicken Welfare","$88,345","March 2017"
"International Refugee Assistance Project — General Support (2016)","International Refugee Assistance Project","Immigration Policy","$700,000","May 2016"
"iGEM — Synthetic Biology Safety and Security (2016)","International Genetically Engineered Machine Foundation","Biosecurity & Pandemic Preparedness","$520,000","May 2016"
"Promise of Justice Initiative — General Support","Promise of Justice Initiative","Criminal Justice Reform","$81,000","May 2016"
"Better Boulder — YIMBY 2016","Better Boulder","Land Use Reform","$37,000","April 2016"
"American Conservative Union Foundation — Center for Criminal Justice Reform (2016)","American Conservative Union Foundation","Criminal Justice Reform","$200,000","May 2016"
"Correctional Association of New York — General Support","Correctional Association of New York","Criminal Justice Reform","$50,000","April 2016"
"Accountable Justice Project — General Support","Accountable Justice Project","Criminal Justice Reform","$350,000","April 2016"
"Global Animal Partnership — General Support (2016)","Global Animal Partnership","Farm Animal Welfare","$500,000","April 2016"
"Ayni Institute — Movement Ecology Training","Ayni Institute","Criminal Justice Reform","$110,000","March 2016"
"American University — Forum for Climate Engineering Assessment","Forum for Climate Engineering Assessment",Longtermism,"$76,234","May 2016"
"University of Pennsylvania — Philip Tetlock on Forecasting","University of Pennsylvania","Other Areas","$500,000","March 2016"
"California Renters Legal Advocacy and Education Fund — General Support","California Renters Legal Advocacy and Education Fund","Land Use Reform","$300,000","June 2016"
"Vera Institute of Justice — Common Justice","Vera Institute of Justice","Criminal Justice Reform","$200,000","February 2016"
"Peterson Institute for International Economics — Macroeconomic Stabilization","Peterson Institute for International Economics","Macroeconomic Stabilization Policy","$250,000","April 2016"
"Seattle for Everyone — General Support","Seattle for Everyone","Land Use Reform","$50,000","February 2016"
"Center for American Progress — Macroeconomic Stabilization","Center for American Progress","Macroeconomic Stabilization Policy","$500,000","March 2016"
"Center for Popular Democracy — Fed Up Campaign (2016)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$1,429,000","December 2015"
"Institute of the Black World — Criminal Justice Reform","Institute of the Black World","Criminal Justice Reform","$50,000","March 2016"
"The Ordinary People Society — Criminal Justice Reform","The Ordinary People Society","Criminal Justice Reform","$50,000","March 2016"
"Pepperdine University — Washington THC Monitoring","Pepperdine University","Global Health & Wellbeing","$150,000","June 2014"
"The Humane Society of the United States — Corporate Cage-Free Campaigns","The Humane Society of the United States","Cage-Free Reforms","$500,000","February 2016"
"Mercy For Animals — Corporate Cage-Free Campaigns (2016)","Mercy For Animals","Cage-Free Reforms","$1,000,000","February 2016"
"Voice of the Ex-Offender — Southern Regional Convening","Voice of the Ex-Offender","Criminal Justice Reform","$40,000","February 2016"
"Center for Global Development — General Support 2016","Center for Global Development","Global Health & Development","$3,000,000","February 2016"
"Solar Radiation Management Governance Initiative — General Support","Solar Radiation Management Governance Initiative",Longtermism,"$500,000","July 2015"
"Alliance for Safety and Justice — General Support","Alliance for Safety and Justice","Criminal Justice Reform","$1,750,000","February 2016"
"JustLeadershipUSA — Campaign to Close Rikers",JustLeadershipUSA,"Criminal Justice Reform","$900,000","December 2015"
"The Humane League — Corporate Cage-Free Campaigns","The Humane League","Cage-Free Reforms","$1,000,000","February 2016"
"Princeton University — Rescuing Biomedical Research (2016)","Rescuing Biomedical Research","Scientific Research","$299,112","January 2016"
"Future of Research — General Support","Future of Research","Scientific Research","$300,000","April 2016"
"Protect the People — Seasonal Migration from Haiti","Protect the People","Immigration Policy","$550,000","February 2016"
"Sightline Institute — Housing and Urban Development","Sightline Institute","Land Use Reform","$400,000","October 2015"
"Future of Life Institute — General Support","Future of Life Institute",Longtermism,"$100,000","March 2016"
"ImmigrationWorks Foundation — General Support 2016","ImmigrationWorks Foundation","Immigration Policy","$150,000","December 2015"
"Human Impact Partners — Criminal Justice Convening","Human Impact Partners","Criminal Justice Reform","$60,990","October 2015"
